EventID,ClusterID,NPixels,Energy_MeV,Charge_ke,x_cm,y_cm,z_cm
116995,0,1,1.0047541749123443,21.88354592959086,16.385226003480547,14.406048142366856,37.46209571428572
117914,0,1,0.6216920986259109,13.54045390807234,-20.373917109356324,38.556070884800114,-44.06558857142857
118463,0,1,0.8809564320692205,19.187231090467623,52.05081917225483,-18.724186831885554,33.05976714285715
120210,0,1,0.7786647771848061,16.95931884708508,-34.470392938455234,14.36388479155255,22.93441142857143
120411,0,1,0.46247921796099806,10.072797367190539,-47.71205470940762,38.34895504493518,48.90815
120700,0,1,0.706344606987211,15.384185540181457,32.81965026991694,-48.18457215598014,-53.310478571428575
121736,0,1,0.37120527868781894,8.084850969820696,39.69286004473143,-34.60867352711934,37.902328571428576
122146,0,1,0.6555827554872072,14.278592414511374,-37.565726512395095,20.41946394686613,-23.374644285714282
122432,0,1,0.7072576275219278,15.404071127427589,42.3255382574299,-38.019171019106494,52.870245714285716
122796,0,1,0.7289797712882791,15.877179418658718,52.710325795537265,-36.542356719296755,-26.896507142857143
124359,0,1,1.140056265549753,24.830425463673624,46.0650953974109,31.38228126132526,34.82069857142857
124422,0,1,0.4887871275456088,10.64578363794336,-52.63658150073496,49.47474987441648,-50.66908142857143
124546,0,1,0.2997825381519721,6.529263680949953,30.2221504223183,34.7627574526617,28.21720571428572
124992,0,1,0.300072652939535,6.535582381023072,-43.05147913210881,0.4628698962289756,-29.097671428571424
126345,0,1,0.724559498692275,15.78090588151775,45.01488454100109,2.619279674576183,37.021862857142864
126498,0,1,0.34394563602468586,7.491135952617658,-10.837574951256356,-29.578289147569667,-18.532082857142854
127124,0,1,0.3688541141884259,8.033642607023916,-33.859194532805944,-22.03403211911994,-46.706985714285715
127417,0,1,0.8844152230083586,19.262563557122053,-29.76982830276873,14.182057219460393,-51.54954714285715
128097,0,1,0.364308800411229,7.9346456729565675,-42.39793806156425,10.693395218967712,-53.310478571428575
128251,0,1,0.44533160026637086,9.699322253801558,33.96775582945541,0.7799514228995018,-32.17930142857143
128790,0,1,0.2964970676482655,6.457706133379223,-29.249172638444918,-25.03464850601335,15.01022
129317,0,1,0.7087013736037793,15.435515917090314,-15.08989198260781,-30.776407866949995,-23.814877142857142
129530,0,1,0.9898109106639449,21.55808163426072,8.913467180225537,-42.158251348335696,51.98978000000001
130161,0,1,0.7522884149514476,16.38484167764253,-33.56820789996676,-16.389270671542125,17.211384285714285
130224,0,1,0.26840747009397253,5.845914698646722,-31.98964290357103,24.776419330052562,-38.78279428571428
131256,0,1,0.8628330586851842,18.792504018163314,-53.017094456937386,10.53636724405644,-52.430012857142856
132295,0,1,0.4198793493367712,9.144972228554877,41.45610732655889,36.22097221245944,-18.091849999999997
132787,0,1,0.7355870800665664,16.021086603849817,-39.50516385349933,-26.70116398204103,24.255110000000002
133195,0,1,0.281156423704678,6.123586908287888,-11.485908939638557,43.5005394533179,21.17348
133473,0,1,0.460441397011821,10.028413626917462,20.9807623033523,-19.48416692818347,14.129754285714284
133611,0,1,0.4038859155524979,8.796635240733405,-12.67880754803636,7.510327727799473,-39.663259999999994
134094,0,1,0.6733334614224447,14.665202789780846,-11.512609495965794,14.82879429965654,-42.304657142857145
134860,0,1,0.23701122173856906,5.162104409466035,-15.501657218213003,-19.999906562571258,14.56998714285714
135057,0,1,0.6450368030273222,14.04890156993508,33.30901406231437,0.48312267539231274,49.34838285714286
135654,0,1,0.39835183368069554,8.676102937565549,25.17019232481271,-3.432979815762619,-13.249288571428568
135969,0,1,0.7048611434831717,15.351875705063481,-13.690634253525488,32.01849378646284,-42.304657142857145
